"在遊戲中，哪個變數可用來判斷遊戲目前是否正在進行?","gameStarted","isRunning","gameOver","startGame","A"
"如果要在遊戲開始時建立按鈕，應該在哪個函數中執行?","setup()","draw()","mousePressed()","windowResized()","A"
"哪個函數在遊戲每次更新畫面時會自動重複執行?","draw()","update()","refresh()","loop()","A"
"當玩家點擊滑鼠想產生新物件時，應該使用哪個函數?","keyPressed()","mousePressed()","createObject()","setup()","B"
"如果想讓背景不閃爍，應該在 draw() 開頭加入哪一行?","fill(0);","background(0);","clear();","noLoop();","B"
"p5.js 中的 map() 函數主要用途是?","讓物件在兩個值之間漸變","將數值從一個範圍映射到另一個範圍","偵測滑鼠距離","生成隨機數字","B"
"在物件導向寫法中，哪個關鍵字用來建立新物件?","this","let","new","class","C"
"如果想讓音效只播放一次，應使用哪個函數?","loop()","play()","stop()","trigger()","B"
"在遊戲中，想讓時間倒數應該搭配哪個變數?","frameCount","mouseX","keyCode","color()","A"
"當要在畫面上顯示文字時，應該使用哪個函數?","write()","text()","display()","showText()","B"
